datetime;open;high;low;close;volume
2025-07-01 05:00:00;1.17889;1.17889;1.17884;1.17884;0
2025-07-01 05:00:00;1.17885;1.17888;1.17883;1.17884;0
2025-07-01 05:00:00;1.17882;1.17886;1.17876;1.1788;0
2025-07-01 05:00:00;1.17879;1.17881;1.17876;1.17881;0
2025-07-01 05:00:00;1.17879;1.17884;1.17875;1.17877;0
2025-07-01 05:00:00;1.17879;1.17884;1.17879;1.17883;0
2025-07-01 05:00:00;1.17882;1.17887;1.17879;1.17887;0
2025-07-01 05:00:00;1.17889;1.17889;1.17885;1.17887;0
2025-07-01 05:00:00;1.17885;1.17885;1.17862;1.17863;0
2025-07-01 05:00:00;1.1786;1.17866;1.17854;1.1786;0
2025-07-01 05:00:00;1.17856;1.17856;1.17846;1.17846;0
2025-07-01 05:00:00;1.17847;1.17854;1.17833;1.17833;0
2025-07-01 05:00:00;1.17834;1.1784;1.17828;1.17839;0
2025-07-01 05:00:00;1.17841;1.17846;1.17839;1.17844;0
2025-07-01 05:00:00;1.17843;1.17843;1.17822;1.17824;0
2025-07-01 05:00:00;1.17823;1.17838;1.17823;1.17832;0
2025-07-01 05:00:00;1.17831;1.17842;1.17828;1.17835;0
2025-07-01 05:00:00;1.17837;1.17838;1.17808;1.17808;0
2025-07-01 05:00:00;1.1781;1.17814;1.17809;1.1781;0
2025-07-01 05:00:00;1.17811;1.17827;1.17803;1.17803;0
2025-07-01 05:00:00;1.17803;1.17815;1.17801;1.17815;0
2025-07-01 05:00:00;1.17818;1.17846;1.17818;1.17834;0
2025-07-01 05:00:00;1.17835;1.1784;1.17818;1.17827;0
2025-07-01 05:00:00;1.17826;1.17837;1.17826;1.17835;0
2025-07-01 05:00:00;1.17836;1.1786;1.17836;1.17838;0
2025-07-01 05:00:00;1.17838;1.1787;1.17838;1.17868;0
2025-07-01 05:00:00;1.17866;1.17871;1.17862;1.1787;0
2025-07-01 05:00:00;1.17869;1.17873;1.17863;1.17863;0
2025-07-01 05:00:00;1.17862;1.17868;1.17857;1.17865;0
2025-07-01 05:00:00;1.17864;1.17864;1.17829;1.17829;0
2025-07-01 05:00:00;1.17829;1.17835;1.17809;1.17809;0
2025-07-01 05:00:00;1.17807;1.17822;1.17802;1.17802;0
2025-07-01 05:00:00;1.17806;1.1781;1.17794;1.17805;0
2025-07-01 05:00:00;1.17809;1.17845;1.17809;1.17817;0
2025-07-01 05:00:00;1.17818;1.17828;1.17805;1.17806;0
2025-07-01 05:00:00;1.17809;1.17822;1.178;1.17816;0
2025-07-01 05:00:00;1.17818;1.1782;1.17806;1.1781;0
2025-07-01 05:00:00;1.17811;1.1782;1.17805;1.17812;0
2025-07-01 05:00:00;1.17817;1.17819;1.17793;1.17795;0
2025-07-01 05:00:00;1.17796;1.17803;1.17791;1.17797;0
2025-07-01 05:00:00;1.17796;1.17796;1.17779;1.17788;0
2025-07-01 05:00:00;1.17781;1.17789;1.17778;1.1778;0
2025-07-01 05:00:00;1.17782;1.17786;1.1777;1.17783;0
2025-07-01 05:00:00;1.17784;1.17793;1.17778;1.17786;0
